case,layer,band,input_energy,output_energy,gain_energy,gain_ratio
ESO_TJ_60010190651,f1,1,22.748937606811523,0.39877086877822876,18.174243927001953,0.7989051726775757
ESO_TJ_60010190651,f1,2,1.6200839281082153,0.03605067729949951,1.2441596984863281,0.7679600278106425
ESO_TJ_60010190651,f1,3,0.6559366583824158,0.019238358363509178,0.469177782535553,0.7152790998018954
ESO_TJ_60011222468,f0,1,158.75428771972656,6.426103115081787,108.9156723022461,0.6860644450405714
ESO_TJ_60011222468,f0,2,76.7003402709961,2.111504554748535,55.940513610839844,0.7293385324392464
ESO_TJ_60011222468,f0,3,44.63362503051758,0.9923787713050842,33.778839111328125,0.7568025023338703
ESO_TJ_60011222468,f1,1,20.507896423339844,0.36999985575675964,16.32501220703125,0.7960354328906749
ESO_TJ_60011222468,f1,2,1.5013959407806396,0.03134419769048691,1.1680107116699219,0.7779498265206748
ESO_TJ_60011222468,f1,3,0.5912293195724487,0.014960816130042076,0.43789142370224,0.7406456500130327
ESO_TJ_60011433208,f0,1,142.52679443359375,5.5698652267456055,97.2960205078125,0.6826507317060589
ESO_TJ_60011433208,f0,2,67.04046630859375,2.149247646331787,47.24394226074219,0.7047078408326256
ESO_TJ_60011433208,f0,3,33.99770736694336,1.0098754167556763,24.26690673828125,0.7137806816313658
ESO_TJ_60011433208,f1,1,21.001117706298828,0.40693140029907227,16.732929229736328,0.7967637467560527
ESO_TJ_60011433208,f1,2,1.6901791095733643,0.03652204945683479,1.3203470706939697,0.7811876642035122
ESO_TJ_60011433208,f1,3,0.7120802402496338,0.021348632872104645,0.5133483409881592,0.7209136161501601
ESO_TJ_60011448192,f0,1,134.1881103515625,5.9121575355529785,89.01110076904297,0.663330756620986
ESO_TJ_60011448192,f0,2,64.99878692626953,2.2706820964813232,44.902503967285156,0.6908206459024997
ESO_TJ_60011448192,f0,3,31.48969268798828,1.0698868036270142,21.81856346130371,0.6928795297397644
ESO_TJ_60011448192,f1,1,21.237443923950195,0.3763843774795532,17.007009506225586,0.8008030329415207
ESO_TJ_60011448192,f1,2,1.4408615827560425,0.02760392799973488,1.1445775032043457,0.7943701996788847
ESO_TJ_60011448192,f1,3,0.6952958106994629,0.02109711803495884,0.49818357825279236,0.7165059397537669
ESO_TJ_60011558269,f0,1,134.44566345214844,5.847558975219727,90.68751525878906,0.6745291215068879
ESO_TJ_60011558269,f0,2,74.738525390625,2.4908039569854736,52.60017776489258,0.7037893441163598
ESO_TJ_60011558269,f0,3,36.76930236816406,1.0355308055877686,26.496395111083984,0.7206118529467835
ESO_TJ_60011558269,f1,1,21.1107234954834,0.3880091607570648,16.892610549926758,0.8001909813057854
ESO_TJ_60011558269,f1,2,1.6295424699783325,0.03577910363674164,1.2732988595962524,0.7813842738400072
ESO_TJ_60011558269,f1,3,0.7271462678909302,0.023235561326146126,0.5168489217758179,0.7107908609284548
ESO_TJ_60011632915,f0,1,147.10557556152344,6.0664496421813965,100.7889175415039,0.6851468216400176
ESO_TJ_60011632915,f0,2,73.7760009765625,2.129456043243408,53.73259353637695,0.7283207659011803
ESO_TJ_60011632915,f0,3,42.3104133605957,1.0391792058944702,31.939424514770508,0.7548833012469549
ESO_TJ_60011632915,f1,1,21.011024475097656,0.39327651262283325,16.604299545288086,0.7902660607990236
ESO_TJ_60011632915,f1,2,1.7203811407089233,0.03591218590736389,1.330562949180603,0.7734117270266866
ESO_TJ_60011632915,f1,3,0.6313834190368652,0.016147971153259277,0.4654894173145294,0.7372531543889231
ESO_TJ_60012088441,f0,1,147.17532348632812,5.215007305145264,102.34890747070312,0.6954216579670719
ESO_TJ_60012088441,f0,2,78.1214370727539,2.1471638679504395,56.573402404785156,0.7241725770110713
ESO_TJ_60012088441,f0,3,41.01896667480469,1.0333236455917358,30.40717315673828,0.7412954450511477
ESO_TJ_60012088441,f1,1,20.56846046447754,0.38569366931915283,16.201698303222656,0.7876962075602487
ESO_TJ_60012088441,f1,2,1.4234588146209717,0.030972376465797424,1.0933254957199097,0.7680766626256512
ESO_TJ_60012088441,f1,3,0.5928105115890503,0.015058515593409538,0.4365112781524658,0.7363420007206772
ESO_TJ_60013355605,f0,1,149.35076904296875,6.066309452056885,102.842041015625,0.6885939836442108
ESO_TJ_60013355605,f0,2,76.49360656738281,2.4324512481689453,55.37868118286133,0.7239648340293358
ESO_TJ_60013355605,f0,3,48.210594177246094,0.9762798547744751,37.39973449707031,0.7757575930213498
ESO_TJ_60013355605,f1,1,20.36343002319336,0.38149845600128174,16.30917739868164,0.8009052198035969
ESO_TJ_60013355605,f1,2,1.3798398971557617,0.028126433491706848,1.0855333805084229,0.7867096630161411
ESO_TJ_60013355605,f1,3,0.5656040906906128,0.01631789840757847,0.41645747423171997,0.7363056262950319
ESO_TJ_60013786525,f0,1,165.65914916992188,6.604397773742676,112.49130249023438,0.6790527601638698
ESO_TJ_60013786525,f0,2,67.99182891845703,1.9591821432113647,49.070098876953125,0.721705823442438
ESO_TJ_60013786525,f0,3,40.02388000488281,0.9552701711654663,30.13130760192871,0.7528332485069417
ESO_TJ_60013786525,f1,1,21.040294647216797,0.40826308727264404,16.443645477294922,0.7815311407470855
ESO_TJ_60013786525,f1,2,1.319246768951416,0.0294199138879776,1.0083798170089722,0.764360270375878
ESO_TJ_60013786525,f1,3,0.5482574105262756,0.01260583195835352,0.4100836515426636,0.7479764863520473
ESO_TJ_60014022928,f0,1,153.88682556152344,5.78361177444458,106.20213317871094,0.6901314182756405
ESO_TJ_60014022928,f0,2,69.3141860961914,2.1256110668182373,49.472686767578125,0.71374547627121
ESO_TJ_60014022928,f0,3,39.74010467529297,1.120901107788086,28.79637908935547,0.7246175953647624
ESO_TJ_60014022928,f1,1,21.151325225830078,0.395137220621109,16.797992706298828,0.7941815714593743
ESO_TJ_60014022928,f1,2,1.627121090888977,0.03719054535031319,1.2519192695617676,0.7694075607347776
ESO_TJ_60014022928,f1,3,0.7013193368911743,0.021963592618703842,0.49773210287094116,0.7097082266069985
ESO_TJ_60014566213,f0,1,168.0130615234375,6.349682331085205,115.54270935058594,0.6877007555419569
ESO_TJ_60014566213,f0,2,67.19725799560547,2.039980173110962,47.99110794067383,0.7141825332190134
ESO_TJ_60014566213,f0,3,34.07720947265625,1.026660680770874,24.3223876953125,0.713743527468944
ESO_TJ_60014566213,f1,1,20.779518127441406,0.3594818711280823,16.696178436279297,0.8034920893680177
ESO_TJ_60014566213,f1,2,1.5033292770385742,0.03208383917808533,1.1749486923217773,0.7815644318692049
ESO_TJ_60014566213,f1,3,0.7253354787826538,0.022517040371894836,0.5170552730560303,0.7128498304303306
ESO_TJ_60014832691,f0,1,138.43264770507812,7.178431510925293,91.28850555419922,0.6594434699297442
ESO_TJ_60014832691,f0,2,59.60141372680664,1.9423472881317139,42.16126251220703,0.7073869540319923
ESO_TJ_60014832691,f0,3,37.717926025390625,1.0378687381744385,27.447246551513672,0.7276976611342905
ESO_TJ_60014832691,f1,1,19.917400360107422,0.3477109968662262,16.09929656982422,0.8083031057641793
ESO_TJ_60014832691,f1,2,1.6433093547821045,0.034970156848430634,1.297616958618164,0.7896364460174528
ESO_TJ_60014832691,f1,3,0.6714402437210083,0.021380284801125526,0.48544037342071533,0.7229837322972539
ESO_TJ_60015081208,f0,1,131.2295684814453,5.211085796356201,90.05496215820312,0.6862398710922791
ESO_TJ_60015081208,f0,2,73.14047241210938,2.1144490242004395,52.8575553894043,0.722685452338592
ESO_TJ_60015081208,f0,3,41.64978790283203,1.0330595970153809,30.95676040649414,0.7432633385484407
ESO_TJ_60015081208,f1,1,21.041181564331055,0.40378713607788086,16.53323745727539,0.7857561328828462
ESO_TJ_60015081208,f1,2,1.6915433406829834,0.036144107580184937,1.3092899322509766,0.7740209196895653
ESO_TJ_60015081208,f1,3,0.6695325374603271,0.017152346670627594,0.4923614263534546,0.7353808796512654
ESO_TJ_60015113400,f0,1,144.13812255859375,6.627777099609375,97.95207214355469,0.679570889399752
ESO_TJ_60015113400,f0,2,71.23674011230469,2.001804828643799,52.19936752319336,0.7327590712447025
ESO_TJ_60015113400,f0,3,47.03592300415039,1.0680058002471924,35.976661682128906,0.7648762772010151
ESO_TJ_60015113400,f1,1,20.53012466430664,0.3870890736579895,16.205875396728516,0.7893705304626335
ESO_TJ_60015113400,f1,2,1.429012417793274,0.03075757808983326,1.0993858575820923,0.7693326131336418
ESO_TJ_60015113400,f1,3,0.5640416145324707,0.015000912360846996,0.4126887321472168,0.7316636246574809
ESO_TJ_60015218276,f0,1,172.15463256835938,7.559852600097656,118.12129211425781,0.6861348448892503
ESO_TJ_60015218276,f0,2,62.779136657714844,1.9626929759979248,44.98573303222656,0.7165713870437179
ESO_TJ_60015218276,f0,3,42.7254638671875,1.0542750358581543,31.775127410888672,0.7437046794778216
ESO_TJ_60015218276,f1,1,20.726829528808594,0.3605928421020508,16.61271858215332,0.801507946937191
ESO_TJ_60015218276,f1,2,1.4165394306182861,0.028116481378674507,1.122154951095581,0.7921805258925935
ESO_TJ_60015218276,f1,3,0.5730148553848267,0.01411499734967947,0.4279087781906128,0.7467673379994486
ESO_TJ_60015513981,f0,1,145.15408325195312,6.648675918579102,99.2413101196289,0.6836963032405282
ESO_TJ_60015513981,f0,2,76.8073501586914,2.2553772926330566,56.80293655395508,0.7395507908630358
ESO_TJ_60015513981,f0,3,52.344966888427734,1.0879631042480469,41.424110412597656,0.7913675922441892
ESO_TJ_60015513981,f1,1,20.435747146606445,0.40139737725257874,16.134075164794922,0.7895025833431959
ESO_TJ_60015513981,f1,2,1.5255537033081055,0.03489973396062851,1.1725168228149414,0.7685844295560453
