case,layer,band,input_high_ratio,output_high_ratio,high_ratio_delta,input_boundary_energy_ratio,output_boundary_energy_ratio,boundary_energy_delta
ESO_TJ_60011558269,f0,3,6.04575497982611e-06,0.020986684402652004,0.02098063864767218,0.6670029791929668,0.7224843674132051,0.05548138822023829
ESO_TJ_60011558269,f1,1,0.9541674715428623,0.9149538656393407,-0.03921360590352163,0.8748586365192492,0.8229950519332333,-0.05186358458601592
ESO_TJ_60011558269,f1,2,0.020718313065575752,0.09323131254630097,0.07251299948072522,0.8787328927789596,0.8704935664805812,-0.008239326298378424
ESO_TJ_60011558269,f1,3,2.0667490503422032e-05,0.015093324294074272,0.015072656803570849,0.890088520094024,0.8421533950494953,-0.04793512504452868
ESO_TJ_60011632915,f0,1,0.8454843030788872,0.8209243820172676,-0.02455992106161964,0.7080597582481228,0.8246501979561007,0.11659043970797789
ESO_TJ_60011632915,f0,2,0.007340368237990644,0.05812406461160828,0.05078369637361764,0.6202293016895247,0.7136325508147379,0.09340324912521314
ESO_TJ_60011632915,f0,3,5.943138906211554e-06,0.02661943592547605,0.02661349278656984,0.6527257418143347,0.7703130465089489,0.1175873046946142
ESO_TJ_60011632915,f1,1,0.9600650197272134,0.9232786611791372,-0.036786358548076215,0.9106081721682697,0.8467625076067633,-0.06384566456150642
ESO_TJ_60011632915,f1,2,0.01910789602339293,0.07588855948523635,0.05678066346184342,0.9359181374377148,0.893538804148646,-0.04237933328906884
ESO_TJ_60011632915,f1,3,2.3117669155172e-05,0.018338041306683615,0.018314923637528444,0.9018168471280689,0.8701686834288539,-0.03164816369921497
ESO_TJ_60012088441,f0,1,0.8466693640380129,0.829139177538697,-0.017530186499315814,0.6267461127626983,0.7139840552827311,0.08723794252003281
ESO_TJ_60012088441,f0,2,0.0068066773120302095,0.04975273558809031,0.0429460582760601,0.5820900718812133,0.6351007866215002,0.053010714740286846
ESO_TJ_60012088441,f0,3,5.886650953472553e-06,0.02329109235589582,0.023285205704942347,0.6368285098795982,0.7210020203859417,0.08417351050634359
ESO_TJ_60012088441,f1,1,0.9614375481604012,0.9249125963601963,-0.036524951800204875,0.8533464604350468,0.8208815481580062,-0.032464912277040625
ESO_TJ_60012088441,f1,2,0.02088012310576007,0.09063267681106166,0.06975255370530159,0.8815325189070478,0.8710134513958031,-0.01051906751124465
ESO_TJ_60012088441,f1,3,2.061099177599178e-05,0.019679741068741055,0.019659130076965063,0.8725253400714619,0.868595304665959,-0.003930035405502852
ESO_TJ_60013355605,f0,1,0.8447230782290267,0.7968227142423766,-0.047900363986650096,0.6824145379394806,0.7956452194954688,0.11323068155598826
ESO_TJ_60013355605,f0,2,0.007749938305132717,0.06907694770844845,0.06132700940331574,0.6272259995591586,0.718802413932469,0.09157641437331043
ESO_TJ_60013355605,f0,3,5.771285884579383e-06,0.020977420366290443,0.020971649080405864,0.6256831515578584,0.6799975920768431,0.05431444051898471
ESO_TJ_60013355605,f1,1,0.9592163559033986,0.9286946713899283,-0.03052168451347026,0.9055013618011226,0.8259320938646372,-0.07956926793648544
ESO_TJ_60013355605,f1,2,0.01942267837779078,0.0861358454889808,0.06671316711119002,0.9391728818198658,0.8720435616270481,-0.0671293201928177
ESO_TJ_60013355605,f1,3,1.9883318018236568e-05,0.018083844264999434,0.0180639609469812,0.9080567066228693,0.8115025161049036,-0.09655419051796565
ESO_TJ_60013786525,f0,1,0.8725298128274367,0.8431480859731708,-0.029381726854265877,0.5986288296616343,0.6917896243769431,0.0931607947153088
ESO_TJ_60013786525,f0,2,0.007484230204589432,0.05243839655948956,0.04495416635490013,0.6075736451288094,0.6599256298111887,0.05235198468237934
ESO_TJ_60013786525,f0,3,5.680986913858009e-06,0.022339922809944252,0.022334241823030395,0.6392970085836753,0.7143457566697323,0.075048748086057
ESO_TJ_60013786525,f1,1,0.9606822621819144,0.9265522128331268,-0.034130049348787606,0.8466196798273765,0.8450280735086176,-0.0015916063187588758
ESO_TJ_60013786525,f1,2,0.024398278132111307,0.09183740255427561,0.0674391244221643,0.8704212406219164,0.8825749479485419,0.012153707326625462
ESO_TJ_60013786525,f1,3,2.4160567678669323e-05,0.01822654149227231,0.01820238092459364,0.8445640592060026,0.8505100954216096,0.005946036215606965
ESO_TJ_60014022928,f0,1,0.8607299108017661,0.8303686328130604,-0.030361277988705693,0.6628274487767999,0.7679870737456636,0.10515962496886366
ESO_TJ_60014022928,f0,2,0.006919033957946606,0.05776739377093647,0.05084835981298986,0.6672046325272204,0.7600173473963603,0.09281271486913989
ESO_TJ_60014022928,f0,3,5.760931817484958e-06,0.025667443571533985,0.0256616826397165,0.630529928592213,0.7425063279025567,0.11197639931034364
ESO_TJ_60014022928,f1,1,0.9549432596169983,0.9037447513298986,-0.05119850828709971,0.853318479490215,0.8741448289623398,0.020826349472124805
ESO_TJ_60014022928,f1,2,0.018334591567879845,0.09838937005011135,0.0800547784822315,0.8846736322595283,0.9196704363455551,0.03499680408602679
