model,case_id,label,Accuracy,Avg. Symmetric Surface Distance,Dice,False Discovery Rate,False Negative Rate,False Omission Rate,False Positive Rate,Jaccard,Negative Predictive Value,Precision,Recall,Total Positives Reference,Total Positives Test,True Negative Rate
nnFormer,Task602_ls_0008,1,0.999565577507019,4.694979711178507,0.5090399590440008,0.18294265201972149,0.6303224796493425,0.000384102835962452,5.045626779920376e-05,0.3414175732822496,0.9996158971640375,0.8170573479802785,0.3696775203506575,25552.0,11561.0,0.9999495437322008
nnFormer,Task602_ls_0009,0,0.9998793601989746,0.010185990459671522,0.9999396574337553,2.5326117673807325e-05,9.535656253600866e-05,0.23214568487727633,0.07432389436843778,0.9998793221495218,0.7678543151227237,0.9999746738823262,0.999904643437464,46121629.0,46118399.0,0.9256761056315622
nnFormer,Task602_ls_0009,1,0.9998793601989746,1.6256694082406853,0.8394114252740912,0.23214568487727638,0.07432389436843778,2.5326117673772674e-05,9.535656253600866e-05,0.7232635608810222,0.9999746738823262,0.7678543151227236,0.9256761056315622,15715.0,18945.0,0.999904643437464
nnFormer,Task602_ls_0010,0,0.9998478571573893,0.006141472708408972,0.9999238826478456,8.117446730926403e-05,7.106018584623897e-05,0.11868458800403761,0.13332636748341253,0.9998477768825119,0.8813154119959624,0.9999188255326907,0.9999289398141538,31438139.0,31438457.0,0.8666736325165875
nnFormer,Task602_ls_0010,1,0.9998478571573893,0.697292562537868,0.8739331998735644,0.11868458800403758,0.13332636748341253,8.117446730925758e-05,7.106018584623897e-05,0.776093567251462,0.9999188255326907,0.8813154119959624,0.8666736325165875,19141.0,18823.0,0.9999289398141538
nnFormer,Task602_ls_0011,0,0.9997815555996366,0.013045828890960336,0.9998907217056087,3.538620035203888e-05,0.00018315946876812372,0.311797879539815,0.08047501356320452,0.9997814672920988,0.6882021204601849,0.999964613799648,0.9998168405312319,37732147.0,37726571.0,0.9195249864367955
nnFormer,Task602_ls_0011,1,0.9997815555996366,2.9438277063641864,0.7872219641843423,0.31179787953981497,0.08047501356320452,3.538620035200125e-05,0.00018315946876812372,0.6491063829787234,0.999964613799648,0.688202120460185,0.9195249864367955,16589.0,22165.0,0.9998168405312319
nnFormer,Task602_ls_0012,0,0.9997617216671214,0.01461750302481418,0.9998808004356684,9.57828465635302e-05,0.00014261518533487116,0.26890311656701416,0.19808473592571096,0.9997616292850222,0.7310968834329858,0.9999042171534365,0.9998573848146651,35634354.0,35632685.0,0.801915264074289
nnFormer,Task602_ls_0012,1,0.9997617216671214,2.000050798319031,0.7648703257770766,0.26890311656701416,0.19808473592571096,9.578284656348518e-05,0.00014261518533487116,0.619263176765866,0.9999042171534365,0.7310968834329858,0.801915264074289,17230.0,18899.0,0.9998573848146651
nnFormer,Task602_ls_0013,0,0.9998866873727718,0.005741254932094556,0.9999433276428088,6.84413441826015e-05,4.490309315940966e-05,0.16544554455445545,0.23205174927113703,0.9998866617087658,0.8345544554455445,0.9999315586558174,0.9999550969068406,37213472.0,37214348.0,0.767948250728863
nnFormer,Task602_ls_0013,1,0.9998866873727718,1.2433305835771213,0.7998671474663124,0.16544554455445548,0.23205174927113703,6.844134418262548e-05,4.490309315940966e-05,0.6664821696845101,0.9999315586558174,0.8345544554455445,0.767948250728863,10976.0,10100.0,0.9999550969068406
nnFormer,Task602_ls_0014,0,0.9997570374432732,0.017843459387862037,0.9998784638026703,0.00013780987086842167,0.00010526199404436998,0.2415325177076626,0.2942480527261834,0.9997569571438452,0.7584674822923374,0.9998621901291316,0.9998947380059556,35634894.0,35636054.0,0.7057519472738166
nnFormer,Task602_ls_0014,1,0.9997570374432732,1.7129135546958403,0.7311607697082557,0.2415325177076626,0.2942480527261834,0.00013780987086841882,0.00010526199404436998,0.5762438236876866,0.9998621901291316,0.7584674822923374,0.7057519472738166,16690.0,15530.0,0.9998947380059556
nnFormer,Task602_ls_0015,0,0.9998990622433749,0.005336349744204152,0.9999495156302785,2.5432531364444344e-05,7.553495288892265e-05,0.22751910141709658,0.09021688970927555,0.9998990363576429,0.7724808985829035,0.9999745674686356,0.9999244650471111,46124342.0,46122031.0,0.9097831102907245
nnFormer,Task602_ls_0015,1,0.9998990622433749,0.8536677129119816,0.8355288716228148,0.22751910141709664,0.09021688970927555,2.543253136445791e-05,7.553495288892265e-05,0.7175178939706418,0.9999745674686356,0.7724808985829034,0.9097831102907245,13002.0,15313.0,0.9999244650471111
nnFormer,Task602_ls_0016,0,0.9998262875044166,0.012116450011271344,0.9999131094118193,0.00012514373983874005,4.863450943692893e-05,0.1361830093437869,0.28860781885724396,0.9998262339222754,0.8638169906562131,0.9998748562601613,0.9999513654905631,52144044.0,52148034.0,0.711392181142756
nnFormer,Task602_ls_0016,1,0.9998262875044166,2.6523733346245812,0.7802299073580056,0.1361830093437869,0.28860781885724396,0.0001251437398387828,4.863450943692893e-05,0.639653252743757,0.9998748562601613,0.8638169906562131,0.711392181142756,22612.0,18622.0,0.9999513654905631
nnFormer,Task602_ls_0017,0,0.9998297918410528,0.015270023276902769,0.9999148627380172,0.00011631731494354813,5.395526434370801e-05,0.15040526849037486,0.2762385637838771,0.9998297399715071,0.8495947315096252,0.9998836826850565,0.9999460447356563,55027068.0,55030500.0,0.7237614362161229
nnFormer,Task602_ls_0017,1,0.9998297918410528,2.2395661413670642,0.7816461595824012,0.15040526849037483,0.2762385637838771,0.00011631731494353131,5.395526434370801e-05,0.6415592364484909,0.9998836826850565,0.8495947315096252,0.7237614362161229,23172.0,19740.0,0.9999460447356563
nnFormer,Task602_ls_0018,0,0.9998792199527516,0.017463789721589955,0.9999395942987006,7.101031518119694e-05,4.9800862483628805e-05,0.2,0.2627972173190738,0.9998791958946579,0.8,0.9999289896848188,0.9999501991375164,35641953.0,35642709.0,0.7372027826809262
nnFormer,Task602_ls_0018,1,0.9998792199527516,3.332330633586679,0.7673187074462336,0.19999999999999996,0.2627972173190738,7.101031518114967e-05,4.9800862483628805e-05,0.6224793968086971,0.9999289896848188,0.8,0.7372027826809262,9631.0,8875.0,0.9999501991375164
nnFormer,Task602_ls_0019,0,0.9997873942057292,0.02205673889441006,0.9998936371144939,8.790483385678893e-05,0.00012482025570892397,0.21418648037153176,0.1610374200110184,0.9997872968527082,0.7858135196284682,0.9999120951661432,0.9998751797442911,43230163.0,43228567.0,0.8389625799889816
nnFormer,Task602_ls_0019,1,0.9997873942057292,1.9507085753574966,0.8115187538430007,0.21418648037153176,0.1610374200110184,8.790483385674108e-05,0.00012482025570892397,0.6828199910323182,0.9999120951661432,0.7858135196284682,0.8389625799889816,23597.0,25193.0,0.9998751797442911
nnFormer,Task602_ls_0020,0,0.9998605147652004,0.007490359852378335,0.9999302353038355,9.213959843890063e-05,4.7388792502878196e-05,0.16107429860425773,0.2718428781204112,0.9998604803412177,0.8389257013957423,0.9999078604015611,0.9999526112074971,48218152.0,48220310.0,0.7281571218795888
nnFormer,Task602_ls_0020,1,0.9998605147652004,1.1224708010020634,0.7796265967900425,0.1610742986042577,0.2718428781204112,9.213959843891506e-05,4.7388792502878196e-05,0.6388426646626227,0.9999078604015611,0.8389257013957423,0.7281571218795888,16344.0,14186.0,0.9999526112074971
