subset_id,model,label,Dice,IoU,Sensitivity,Precision,Specificity,D95,ASSD
2,nnUNet,1,0.8686139243810544,0.7749575280039567,0.8742034737074862,0.8717203499799883,0.9979019923136383,8.376946132949902,1.6325516756151806
2,RWKV_med,1,0.0,0.0,0.0,nan,1.0,nan,nan
2,RWKV_fd,1,0.7553506519434929,0.6393095440408363,0.8738431715568662,0.7052026234712827,0.9917664543553318,23.52528863284085,6.2562998348609655
2,RWKV_fd_loss,1,0.7824776240146031,0.6725823440466485,0.8851214935315401,0.7325614564148053,0.9926134679230723,19.0366895940785,4.666816704254373
2,UNet3D,1,0.8617692869636656,0.7646500439416931,0.8722420204633462,0.8634951869842968,0.9978476338866799,7.988275910058076,1.621233699476545
3,BANet,1,0.8391089387456478,0.7477631608882138,0.8748502674845833,0.8249319682593956,0.9972129478511729,11.03315372599281,3.395866383971981
3,BGHNetV4,1,0.8238792311398463,0.7310273121042427,0.8843284054641675,0.7992335947309541,0.9947437704385163,14.248795628761238,3.7117539413040888
3,MedNeXt,1,0.8146298724682588,0.720326005338527,0.8907353229640161,0.7708346003988875,0.994379417400868,18.14037325937145,4.523063285115368
3,nnUNet,1,0.8418561495585003,0.7498474060194633,0.8707028425218475,0.8329964211389334,0.9973258098319251,10.337361183603997,2.694401936938353
3,RWKV_med,1,0.0,0.0,0.0,nan,1.0,nan,nan
3,RWKV_fd,1,0.7698518029813675,0.6607402166330202,0.8764944891183475,0.7208687596559149,0.9917555053763512,25.016760017774864,6.218154722897508
3,RWKV_fd_loss,1,0.7868598499572782,0.6812761924410824,0.8738119222586498,0.7441515841905019,0.9932571173045744,19.553547175382878,5.072539597081706
3,UNet3D,1,0.8393994008259265,0.7459824948772805,0.8754809799788046,0.820551960486878,0.9974948833143449,8.024893366413014,2.090278177494659
4,BANet,1,0.8472628103401962,0.7555315031689618,0.8615988834488653,0.8446353088613503,0.9976892388301657,10.988644061050284,3.2771370389619663
4,BGHNetV4,1,0.8077411046735378,0.7153206123825878,0.8794249914028025,0.7869963056823833,0.9945577890801467,14.291687212483543,4.207532455028828
4,MedNeXt,1,0.8133926901632735,0.7193276039391765,0.8889461351623087,0.7789106308229267,0.9948152107165779,15.879804151604196,4.501881607566214
4,nnUNet,1,0.8525178625834032,0.761144383453649,0.8550508766673672,0.8596212578167831,0.9979581982072123,10.015063470756832,2.4590065540311863
4,RWKV_med,1,0.0,0.0,0.0,nan,1.0,nan,nan
4,RWKV_fd,1,0.7622923687659048,0.6543800874537559,0.8607199419499711,0.7258029330466093,0.9925723788752787,21.479694290473343,6.0479104914246
4,RWKV_fd_loss,1,0.7816030620186084,0.6792006390901513,0.87085658102378,0.7460262188972807,0.9935814566259704,17.79683089763233,4.965665219744183
