model,case_id,label,Accuracy,Avg. Symmetric Surface Distance,Dice,False Discovery Rate,False Negative Rate,False Omission Rate,False Positive Rate,Hausdorff Distance 95,Jaccard,Negative Predictive Value,Precision,Recall,Total Positives Reference,Total Positives Test,True Negative Rate
MedNeXt,ESO_TJ_2501250133,0,0.9977221488952637,0.06808572805365516,0.9988492564491143,0.0015132192366671404,0.0007880045940427127,0.0786662817551963,0.14095374814947736,0.0,0.9977011582755174,0.9213337182448037,0.9984867807633329,0.9992119954059573,2074861.0,2076368.0,0.8590462518505226
MedNeXt,ESO_TJ_2501250133,1,0.9977221488952637,1.1001575452667351,0.889100406268137,0.0786662817551963,0.14095374814947736,0.0015132192366671033,0.0007880045940427127,6.164414002968976,0.8003427233971412,0.9984867807633329,0.9213337182448037,0.8590462518505226,22291.0,20784.0,0.9992119954059573
MedNeXt,ESO_TJ_2801138665,0,0.9975404739379883,0.04750823301026226,0.9987516542154783,0.0011139318453798897,0.0013827235540205818,0.09070993141986285,0.07436974789915962,0.0,0.9975064212794408,0.9092900685801372,0.9988860681546201,0.9986172764459794,2066212.0,2065656.0,0.9256302521008404
MedNeXt,ESO_TJ_2801138665,1,0.9975404739379883,0.8733275207808384,0.9173874047024153,0.09070993141986283,0.07436974789915962,0.0011139318453798697,0.0013827235540205818,2.449489742783178,0.8473829038080303,0.9988860681546201,0.9092900685801372,0.9256302521008404,30940.0,31496.0,0.9986172764459794
MedNeXt,ESO_TJ_60010069243,0,0.9986763000488281,0.028184393385637527,0.999332673378716,0.0007273807658025877,0.0006072652580805249,0.0739201685590542,0.08727503461006003,0.0,0.9986662368131132,0.9260798314409457,0.9992726192341974,0.9993927347419195,2079816.0,2080066.0,0.91272496538994
MedNeXt,ESO_TJ_60010069243,1,0.9986763000488281,1.1552798169934257,0.9193539015745744,0.07392016855905414,0.08727503461006003,0.0007273807658026236,0.0006072652580805249,2.8284271247461903,0.8507446636915963,0.9992726192341974,0.9260798314409459,0.91272496538994,17336.0,17086.0,0.9993927347419195
MedNeXt,ESO_TJ_60010327711,0,0.998809814453125,0.02639434477686561,0.999403113566253,0.0002750963195939926,0.0009184694598146637,0.2754121863799283,0.10214958251909756,0.0,0.9988069392542797,0.7245878136200716,0.999724903680406,0.9990815305401853,2091523.0,2090177.0,0.8978504174809024
MedNeXt,ESO_TJ_60010327711,1,0.998809814453125,3.101257436215682,0.8019676293240241,0.27541218637992837,0.10214958251909756,0.00027509631959398654,0.0009184694598146637,7.0710678118654755,0.6694039735099337,0.999724903680406,0.7245878136200716,0.8978504174809024,5629.0,6975.0,0.9990815305401853
MedNeXt,ESO_TJ_60010337722,0,0.9883308410644531,0.24412412153762203,0.9940063473154206,0.004353989022295446,0.007627924718378587,0.2642788160146389,0.169684685546016,1.0,0.9880841143110898,0.7357211839853611,0.9956460109777046,0.9923720752816214,2044855.0,2038131.0,0.830315314453984
MedNeXt,ESO_TJ_60010337722,1,0.9883308410644531,2.9493544846321527,0.7801613395856914,0.2642788160146389,0.169684685546016,0.004353989022295427,0.007627924718378587,15.535435767705385,0.6395610869725311,0.9956460109777046,0.7357211839853611,0.830315314453984,52297.0,59021.0,0.9923720752816214
